"","a0_2017","a0_2022","a0_2027","a25_2017","a25_2022","a25_2037","a55_2017","a55_2022","a55_2037"
"1",-6.06857023870548,-6.23359980460379,-6.3617922675005,-7.58067835245354,-7.62413423966797,-7.65598291618421,-5.55221269391416,-5.6329904226656,-5.69570270409178
"2",-5.95394142789844,-6.19371537921764,-6.32283382599329,-7.56317998357043,-7.66403503614968,-7.71405771988806,-5.37236657119783,-5.46363314475987,-5.5125742713326
"3",-5.49963705033534,-6.16320468509795,-6.20125761405405,-7.22092816583595,-7.6904738378133,-7.71093498316356,-5.16018370562564,-5.69665096443274,-5.738161209131
"4",-5.27552900491761,-6.34065329693952,-6.42531061139079,-7.12964087185795,-7.91816577448719,-7.97965942662702,-5.09767058046262,-5.82306951576198,-5.88331352852753
"5",-6.10026207363767,-6.35967144343264,-6.50830824319954,-7.52243052334592,-7.57071860996488,-7.59489354925849,-5.53998773435125,-5.65449243544512,-5.7216679708232
"6",-5.90430934712804,-6.07869267485909,-6.18520707561746,-7.56475087442457,-7.61805879136878,-7.64838198297644,-5.64745223699282,-5.76012110696181,-5.82986794282137
"7",-5.77843598020159,-6.21042934160077,-6.32696805310026,-7.48481508292548,-7.54517451277693,-7.55563372643475,-5.46514202298642,-5.65240708363867,-5.70170064317193
"8",-5.92876959930791,-6.15013207923783,-6.22929289418798,-7.56003982584761,-7.62112251394884,-7.63848180048404,-5.54344838017318,-5.67312864111237,-5.72019238373502
"9",-5.89585804757432,-6.20866578896656,-6.33364504489626,-7.58274530293763,-7.64333721219122,-7.66172735141123,-5.54553975010432,-5.70147015014033,-5.76385577972565
"10",-6.02870753724534,-6.25423029215802,-6.36112341860501,-7.62856146753606,-7.66443668515327,-7.67613152142058,-5.61307057804286,-5.71586517739918,-5.76424770292646
"11",-6.08219921057049,-6.349554777807,-6.5069409690894,-7.80402649531736,-7.87501698877232,-7.91357145455583,-5.63184374646896,-5.74770771677235,-5.8156155589322
"12",-6.0213548442879,-6.22175356658306,-6.31133377957603,-7.76408160693574,-7.83827425394192,-7.8701030384486,-5.62836846288649,-5.73447005873232,-5.78331118944671
"13",-6.1189547956731,-6.41919673678664,-6.58157511017094,-7.95963666516264,-8.06637238158728,-8.12342624072057,-5.62603146784736,-5.77617737649157,-5.8574862543582
"14",-5.9941962748811,-6.26500442678302,-6.38887815570567,-7.89091257311324,-7.96846791902627,-8.00149794353895,-5.66210324766471,-5.81416725749945,-5.88416830617578
"15",-6.13874256454248,-6.3077189485261,-6.49144255293432,-7.6597961427974,-7.68585813275751,-7.71137825820288,-5.63952821266643,-5.7077528461601,-5.78108369364625
"16",-6.0142767787233,-6.26643311309529,-6.39332814843448,-7.6299132319794,-7.65514113995508,-7.66400521188913,-5.67002328311324,-5.78150674697917,-5.83860441396369
"17",-6.03201782773505,-6.31973808509831,-6.51255601816388,-7.80585497559487,-7.88892725738417,-7.93950877168346,-5.7016647186852,-5.81811142005658,-5.89620709596652
